Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,Crash Year,Crash Month,Day of Week,Time of Day,Hour of Day,Illumination,Weather,Road Condition,Collision Type,Fatality Count,Injury Count,Arrival Time,Dispatch Time,Vehicle Count,Automobile Count,Motorcycle Count,Bus Count,Small Truck Count,Heavy Truck Count,SUV Count,Van Count,Bicycle Count,Pedestrian Count,Latitude (Decimal),Longitude (Decimal),Speeding Related,Aggressive Driving
2013008253,46,Montgomery,46220,Upper Merion Twp,2013,1,2,2141,21,Dark no street lights,Snow,Ice Patches,Hit fixed object,0,1,2141,2141,2,2,0,0,0,0,0,0,0,0,40.0896,-75.3786,Yes,Yes
2004212288,46,Montgomery,46220,Upper Merion Twp,2004,8,5,2342,23,Dark no street lights,Rain,Wet,Head-on,0,0,9999,9999,2,2,0,0,0,0,0,0,0,0,,,No,No
2012054259,46,Montgomery,46220,Upper Merion Twp,2012,5,3,620,6,Daylight,No adverse conditions,Dry,Rear-end,0,0,643,625,2,1,0,0,1,0,0,0,0,0,40.0647,-75.3306,No,Yes
2010010730,46,Montgomery,46220,Upper Merion Twp,2010,1,5,1429,14,Daylight,No adverse conditions,Dry,Hit pedestrian,0,1,1429,1429,1,1,0,0,0,0,0,0,0,1,40.0904,-75.396,No,No
2014091156,46,Montgomery,46220,Upper Merion Twp,2014,9,7,1219,12,Daylight,No adverse conditions,Dry,Angle,0,1,1223,1219,2,2,0,0,0,0,0,0,0,0,40.0947,-75.3629,No,Yes
2004205981,46,Montgomery,46220,Upper Merion Twp,2004,3,4,1329,13,Daylight,No adverse conditions,Dry,Angle,0,0,9999,9999,2,1,0,0,0,0,0,1,0,0,40.095,-75.3618,No,Yes
2005149712,46,Montgomery,46220,Upper Merion Twp,2005,6,5,1757,17,Daylight,No adverse conditions,Dry,Hit fixed object,0,0,1804,1804,1,1,0,0,0,0,0,0,0,0,,,Yes,No
2015053058,46,Montgomery,46220,Upper Merion Twp,2015,4,5,500,5,Dark street lights,No adverse conditions,Dry,Hit fixed object,0,1,715,655,1,1,0,0,0,0,0,0,0,0,40.0921,-75.4078,No,No
2003236795,46,Montgomery,46220,Upper Merion Twp,2003,11,7,1941,19,Dark street lights,No adverse conditions,Dry,Angle,0,1,9999,9999,2,1,0,0,1,0,0,0,0,0,40.0891,-75.3798,Yes,Yes
1998005178,46,Montgomery,46220,Upper Merion Twp,1998,2,7,1140,11,Daylight,No adverse conditions,Dry,Hit fixed object,0,1,9999,9999,1,0,0,0,1,0,0,0,0,0,40.1095,-75.42,No,No
2000062214,46,Montgomery,46220,Upper Merion Twp,2000,7,1,932,9,Daylight,No adverse conditions,Dry,Rear-end,0,3,9999,9999,2,2,0,0,0,0,0,0,0,0,40.0924,-75.3704,No,No
1999068204,46,Montgomery,46220,Upper Merion Twp,1999,3,1,223,2,Dark no street lights,No adverse conditions,Dry,Hit fixed object,0,0,9999,9999,1,1,0,0,0,0,0,0,0,0,40.0882,-75.3672,Yes,Yes
2006059532,46,Montgomery,46220,Upper Merion Twp,2006,5,1,1500,15,Daylight,No adverse conditions,Dry,Angle,0,0,1525,1508,2,2,0,0,0,0,0,0,0,0,40.0605,-75.3381,No,Yes
2009111567,46,Montgomery,46220,Upper Merion Twp,2009,10,3,134,1,Dark street lights,No adverse conditions,Dry,Non collision,0,2,158,134,1,0,0,0,0,1,0,0,0,0,40.0921,-75.4076,No,No
1997113274,46,Montgomery,46220,Upper Merion Twp,1997,10,2,417,4,Dark no street lights,Rain,Wet,Hit fixed object,0,1,9999,9999,1,1,0,0,0,0,0,0,0,0,40.0744,-75.3382,No,No
1997021060,46,Montgomery,46220,Upper Merion Twp,1997,2,2,1842,18,Daylight,No adverse conditions,Dry,Rear-end,0,2,9999,9999,2,2,0,0,0,0,0,0,0,0,40.0854,-75.3964,No,Yes
1997081046,46,Montgomery,46220,Upper Merion Twp,1997,7,4,637,6,Daylight,No adverse conditions,Dry,Angle,0,2,9999,9999,2,1,0,0,0,0,1,0,0,0,40.0853,-75.3889,No,Yes
1997029096,46,Montgomery,46220,Upper Merion Twp,1997,3,1,1414,14,Daylight,No adverse conditions,Dry,Backing,0,1,9999,9999,2,1,0,0,0,1,0,0,0,0,,,No,No
2008131813,46,Montgomery,46220,Upper Merion Twp,2008,11,1,209,2,Dark street lights,No adverse conditions,Wet,Hit fixed object,0,2,209,209,1,1,0,0,0,0,0,0,0,0,40.0971,-75.3976,Yes,Yes
2012121789,46,Montgomery,46220,Upper Merion Twp,2012,12,2,808,8,Daylight,No adverse conditions,Dry,Angle,0,0,813,808,2,2,0,0,0,0,0,0,0,0,40.0949,-75.4171,No,Yes
2004208519,46,Montgomery,46220,Upper Merion Twp,2004,6,7,1756,17,Daylight,No adverse conditions,Dry,Hit fixed object,0,1,9999,9999,1,1,0,0,0,0,0,0,0,0,40.0825,-75.3291,Yes,Yes
2008002811,46,Montgomery,46220,Upper Merion Twp,2007,11,5,38,0,Dark street lights,No adverse conditions,Dry,Rear-end,0,2,45,40,4,2,0,0,0,0,1,1,0,0,40.0762,-75.364,No,Yes
2004220052,46,Montgomery,46220,Upper Merion Twp,2004,10,6,515,5,Daylight,No adverse conditions,Dry,Rear-end,0,2,9999,9999,2,2,0,0,0,0,0,0,0,0,,,No,No
2015074995,46,Montgomery,46220,Upper Merion Twp,2015,7,5,2127,21,Dark street lights,Rain,Wet,Sideswipe (same dir.),0,1,2239,2226,2,1,0,0,0,0,1,0,0,0,40.0856,-75.3986,No,Yes
1998055704,46,Montgomery,46220,Upper Merion Twp,1998,3,6,1318,13,Daylight,No adverse conditions,Dry,Angle,0,0,9999,9999,2,1,0,0,1,0,0,0,0,0,40.0589,-75.3396,No,Yes
1999030009,46,Montgomery,46220,Upper Merion Twp,1999,3,6,2101,21,Dark street lights,No adverse conditions,Dry,Angle,0,0,9999,9999,2,1,0,0,1,0,0,0,0,0,,,No,Yes
2001228128,46,Montgomery,46220,Upper Merion Twp,2001,3,7,813,8,Daylight,No adverse conditions,Dry,Rear-end,0,2,9999,9999,2,2,0,0,0,0,0,0,0,0,40.0894,-75.3888,No,Yes
1999141513,46,Montgomery,46220,Upper Merion Twp,1999,11,4,1420,14,Daylight,No adverse conditions,Dry,Rear-end,0,1,9999,9999,3,3,0,0,0,0,0,0,0,0,40.067,-75.3353,Yes,Yes
1997032924,46,Montgomery,46220,Upper Merion Twp,1997,4,3,1905,19,Dark no street lights,No adverse conditions,Dry,Angle,0,0,9999,9999,2,2,0,0,0,0,0,0,0,0,40.078,-75.3637,No,Yes
2013105974,46,Montgomery,46220,Upper Merion Twp,2013,10,7,1432,14,Daylight,No adverse conditions,Dry,Rear-end,0,0,1506,1442,2,1,0,0,0,0,1,0,0,0,40.0775,-75.3704,No,Yes
2009129067,46,Montgomery,46220,Upper Merion Twp,2009,12,7,1225,12,Daylight,Snow,Snow covered,Angle,0,0,1244,1230,2,2,0,0,0,0,0,0,0,0,40.0894,-75.3887,Yes,Yes
2006102433,46,Montgomery,46220,Upper Merion Twp,2005,9,7,1625,16,Daylight,No adverse conditions,Dry,Angle,0,1,1630,1626,2,1,0,0,1,0,0,0,0,0,40.1035,-75.3843,No,No
2008018358,46,Montgomery,46220,Upper Merion Twp,2007,12,2,1828,18,Dark no street lights,Rain,Wet,Rear-end,0,1,1835,1833,2,2,0,0,0,0,0,0,0,0,40.1024,-75.4192,Yes,Yes
2011088457,46,Montgomery,46220,Upper Merion Twp,2011,8,3,1835,18,Daylight,Rain,Wet,Angle,0,0,1845,1838,3,2,0,0,0,0,1,0,0,0,40.0859,-75.3576,No,Yes
